datetime,equity,cash,positions_value,positions,return,return_cum
2020-10-30,13471.666,-3.558,13475.224,{'SPY': 43},-1.049,34.717
2020-11-02,13623.529,-3.558,13627.087,{'SPY': 43},1.127,36.235
2020-11-03,13861.233,-3.558,13864.791,{'SPY': 43},1.745,38.612
2020-11-04,14171.568,-3.558,14175.126,{'SPY': 43},2.239,41.716
2020-11-05,14448.888,-3.558,14452.446,{'SPY': 43},1.957,44.489
2020-11-06,14448.063,-3.558,14451.621,{'SPY': 43},-0.006,44.481
2020-11-09,14627.579,-3.558,14631.137,{'SPY': 43},1.242,46.276
2020-11-10,14608.186,-3.558,14611.744,{'SPY': 43},-0.133,46.082
2020-11-11,14713.416,-3.558,14716.974,{'SPY': 43},0.72,47.134
2020-11-12,14575.584,-3.558,14579.141,{'SPY': 43},-0.937,45.756
2020-11-13,14772.429,-3.558,14775.987,{'SPY': 43},1.351,47.724
2020-11-16,14953.596,-3.558,14957.154,{'SPY': 43},1.226,49.536
